,node,tag,level,device,measurements,unit,asset
0,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.W3,NCPV001_HS_METPRI.W3,1,NCPV001_HS_METPRI,W3,MW,hawt
1,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.KWH3_DEL,NCPV001_HS_METPRI.KWH3_DEL,1,NCPV001_HS_METPRI,kWH3_DEL,MWh,hawt
2,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.FREQ,NCPV001_HS_METPRI.FREQ,1,NCPV001_HS_METPRI,FREQ,Hz,hawt
3,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.KWH3_REC,NCPV001_HS_METPRI.KWH3_REC ,1,NCPV001_HS_METPRI,KWH3_REC ,MWh,hawt
4,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.VAB,NCPV001_HS_METPRI.VAB,1,NCPV001_HS_METPRI,VAB,kV,hawt
5,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.VBC,NCPV001_HS_METPRI.VBC,1,NCPV001_HS_METPRI,VBC,kV,hawt
6,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.VCA,NCPV001_HS_METPRI.VCA,1,NCPV001_HS_METPRI,VCA,kV,hawt
7,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.11_VAB,NCPV001_HS_50_11.VAB ,1,NCPV001_HS_50_11,VAB,kV,hawt
8,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.11_VBC,NCPV001_HS_50_11.VBC,1,NCPV001_HS_50_11,VBC,kV,hawt
9,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.11_VCA,NCPV001_HS_50_11.VCA,1,NCPV001_HS_50_11,VCA,kV,hawt
10,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.12_VAB,NCPV001_HS_50_12.VAB ,1,NCPV001_HS_50_12,VAB,kV,hawt
11,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.12_VBC,NCPV001_HS_50_12.VBC,1,NCPV001_HS_50_12,VBC,kV,hawt
12,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.12_VCA,NCPV001_HS_50_12.VCA,1,NCPV001_HS_50_12,VCA,kV,hawt
13,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.13_VAB,NCPV001_HS_50_13.VAB ,1,NCPV001_HS_50_13,VAB,kV,hawt
14,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.13_VBC,NCPV001_HS_50_13.VBC,1,NCPV001_HS_50_13,VBC,kV,hawt
15,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.13_VCA,NCPV001_HS_50_13.VCA,1,NCPV001_HS_50_13,VCA,kV,hawt
16,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.ActivePower_kW,Inverter101_Measure.ActivePower_kW,1,Inverter101,ActivePower,kW,hawt
17,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.DC_InputCurrent,Inverter101_Measure.DC_InputCurrent,1,Inverter101,DC_InputCurrent,A,hawt
18,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.DC_InputPower,Inverter101_Measure.DC_InputPower,1,Inverter101,DC_InputPower,kW,hawt
19,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.DC_VoltagePV,Inverter101_Measure.DC_VoltagePV,1,Inverter101,DC_VoltagePV,V,hawt
20,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Frequency,Inverter101_Measure.Frequency,1,Inverter101,Frequency,Hz,hawt
21,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.PowerFactor,Inverter101_Measure.PowerFactor,1,Inverter101,PowerFactor,%,hawt
22,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.ReactivePower_kVAr,Inverter101_Measure.ReactivePower_kVAr,1,Inverter101,ReactivePower,kVAr,hawt
23,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Vab,Inverter101_Measure.Vab,1,Inverter101,Vab,kV,hawt
24,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Vbc,Inverter101_Measure.Vbc,1,Inverter101,Vbc,kV,hawt
25,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Vca,Inverter101_Measure.Vca,1,Inverter101,Vca,kV,hawt
26,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Ia,Inverter101_MeasureIa,1,Inverter101,Ia,A,hawt
27,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Ib,Inverter101_MeasureIa,1,Inverter101,Ib,A,hawt
28,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter101_Measure.Ic,Inverter101_MeasureIa,1,Inverter101,Ic,A,hawt
29,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.ActivePower_kW,Inverter102_Measure.ActivePower_kW,1,Inverter102,ActivePower,kW,hawt
30,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.DC_InputCurrent,Inverter102_Measure.DC_InputCurrent,1,Inverter102,DC_InputCurrent,A,hawt
31,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.DC_InputPower,Inverter102_Measure.DC_InputPower,1,Inverter102,DC_InputPower,kW,hawt
32,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.DC_VoltagePV,Inverter102_Measure.DC_VoltagePV,1,Inverter102,DC_VoltagePV,V,hawt
33,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Frequency,Inverter102_Measure.Frequency,1,Inverter102,Frequency,Hz,hawt
34,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.PowerFactor,Inverter102_Measure.PowerFactor,1,Inverter102,PowerFactor,%,hawt
35,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.ReactivePower_kVAr,Inverter102_Measure.ReactivePower_kVAr,1,Inverter102,ReactivePower,kVAr,hawt
36,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Vab,Inverter102_Measure.Vab,1,Inverter102,Vab,kV,hawt
37,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Vbc,Inverter102_Measure.Vbc,1,Inverter102,Vbc,kV,hawt
38,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Vca,Inverter102_Measure.Vca,1,Inverter102,Vca,kV,hawt
39,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Ia,Inverter102_MeasureIa,1,Inverter102,Ia,A,hawt
40,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Ib,Inverter102_MeasureIa,1,Inverter102,Ib,A,hawt
41,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter102_Measure.Ic,Inverter102_MeasureIa,1,Inverter102,Ic,A,hawt
42,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.ActivePower_kW,Inverter103_Measure.ActivePower_kW,1,Inverter103,ActivePower,kW,hawt
43,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.DC_InputCurrent,Inverter103_Measure.DC_InputCurrent,1,Inverter103,DC_InputCurrent,A,hawt
44,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.DC_InputPower,Inverter103_Measure.DC_InputPower,1,Inverter103,DC_InputPower,kW,hawt
45,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.DC_VoltagePV,Inverter103_Measure.DC_VoltagePV,1,Inverter103,DC_VoltagePV,V,hawt
46,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Frequency,Inverter103_Measure.Frequency,1,Inverter103,Frequency,Hz,hawt
47,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.PowerFactor,Inverter103_Measure.PowerFactor,1,Inverter103,PowerFactor,%,hawt
48,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.ReactivePower_kVAr,Inverter103_Measure.ReactivePower_kVAr,1,Inverter103,ReactivePower,kVAr,hawt
49,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Vab,Inverter103_Measure.Vab,1,Inverter103,Vab,kV,hawt
50,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Vbc,Inverter103_Measure.Vbc,1,Inverter103,Vbc,kV,hawt
51,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Vca,Inverter103_Measure.Vca,1,Inverter103,Vca,kV,hawt
52,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Ia,Inverter103_MeasureIa,1,Inverter103,Ia,A,hawt
53,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Ib,Inverter103_MeasureIa,1,Inverter103,Ib,A,hawt
54,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter103_Measure.Ic,Inverter103_MeasureIa,1,Inverter103,Ic,A,hawt
55,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.ActivePower_kW,Inverter104_Measure.ActivePower_kW,1,Inverter104,ActivePower,kW,hawt
56,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.DC_InputCurrent,Inverter104_Measure.DC_InputCurrent,1,Inverter104,DC_InputCurrent,A,hawt
